backbone,head,seed,n_trans,full_dirF1,trans_only_dirF1,trans_gyro_high_dirF1,trans_gyro_low_dirF1,trans_rd_high_dirF1,trans_rd_low_dirF1,trans_gyrohi_rdhi_dirF1
real_selective,avgpool,13,78,0.7827633186581621,0.8232793522267207,0.44804318488529016,0.9141972578505086,0.8302810715854193,0.809313725490196,0.4725790513833992
complex_selective,selective_gyrophase,13,78,0.5090206529000629,0.6492255807268112,0.4020019332519333,0.5913207163207163,0.6828282828282828,0.6512955643390426,0.39691358024691353
complex_selective,phase,13,78,0.5936393289841565,0.6608611831262602,0.4523602033405955,0.5564163505339976,0.7501424501424502,0.5902834008097165,0.4725790513833992
transformer,avgpool,13,78,0.7174763202097095,0.7841418551037426,0.5545584045584045,0.6235272524746208,0.8565058479532164,0.6736392262708053,0.5688219992567819
complex_static,avgpool,13,78,0.6427150835045573,0.7004357298474946,0.4561628430049483,0.6250389044506691,0.7370150783194261,0.6453398453398453,0.4763828763828764
real_selective,gyrophase_rd,13,78,0.7352422070164005,0.7703761755485895,0.536492673992674,0.6569026733500417,0.8032805429864252,0.7084656084656085,0.5496031746031745
complex_selective,gyrophase_rd,13,78,0.5343711843711844,0.6990740740740741,0.46072124756335286,0.6009803921568627,0.7539872408293461,0.6493320405085111,0.4580026455026454
mamba3,gyrophase_rd,13,78,0.7985643074562363,0.8166729837461545,0.5296646026831785,0.8058444722918408,0.7993173493173492,0.8245389113810165,0.49991258741258743
mamba3,avgpool,13,78,0.7987734487734487,0.8447751322751323,0.5278679653679654,0.8396164021164022,0.8545098039215685,0.8501472383825325,0.5496031746031745
complex_selective,gyrophase,13,78,0.5844533256479348,0.7895937508828433,0.4920377867746289,0.7493050808840284,0.8107142857142856,0.7458691635162223,0.5083171730230555
transformer,gyrophase_rd,73,78,0.66983645983646,0.7201850830516149,0.5277777777777778,0.767846532552415,0.534697940947941,0.7807359307359306,0.4888167388167388
real_static,avgpool,73,78,0.6491385259751076,0.6802459387758844,0.5105820105820106,0.7237990810359233,0.5384920634920635,0.7589169000933708,0.4824074074074074
tcn,avgpool,73,78,0.7701804368471036,0.7894926061592727,0.7646134197858335,0.7672142672142672,0.8151461114949959,0.7546296296296297,0.7702991452991452
complex_selective,avgpool,73,78,0.6343292655057361,0.7495189995189994,0.5805529619255109,0.7195286195286196,0.5618492618492618,0.7941622103386808,0.5431065311500095
real_selective,avgpool,73,78,0.6997219468483836,0.7351429058746133,0.5596567411083541,0.7449936272304694,0.5586618876941457,0.8043752543752544,0.5486812570145904
complex_selective,selective_gyrophase,73,78,0.5959959067802205,0.6885256069466598,0.6248731660496366,0.6604030501089325,0.6913859560918384,0.658003108003108,0.6221061186578427
complex_selective,phase,73,78,0.6095317126383045,0.6925870902932371,0.4588744588744589,0.6946969696969697,0.5124486624486624,0.7449494949494949,0.4309713275230516
transformer,avgpool,73,78,0.6758810041393691,0.7641299118014508,0.6963898214372598,0.7061507936507936,0.7997439836149515,0.7110333022097728,0.6842592592592592
complex_static,avgpool,73,78,0.5814484126984126,0.7052184316700446,0.6630022595539837,0.6935726310726311,0.5978835978835979,0.7554831649258894,0.6004208754208754
real_selective,gyrophase_rd,73,78,0.597394053315106,0.660478818012774,0.6182359307359307,0.5854316979316979,0.6179012345679011,0.6839766714766715,0.5778619528619529
complex_selective,gyrophase_rd,73,78,0.6084094962771434,0.8029096814086673,0.6917955002513826,0.7310262836578626,0.6953046953046953,0.7541666666666665,0.6685666185666186
mamba3,gyrophase_rd,73,78,0.7721131885356023,0.804690196314223,0.7906289910600255,0.7925650058002999,0.7776801742318984,0.8321063468122291,0.7635016835016835
mamba3,avgpool,73,78,0.6885477296812587,0.7463708513708514,0.685405643738977,0.7376651126651126,0.6892857142857142,0.7717236467236467,0.6359903381642512
complex_selective,gyrophase,73,78,0.5276271169128312,0.6079186030736418,0.5128008192524321,0.524037074037074,0.5032746823069404,0.5848357524828113,0.48977072310405645
