backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss,per_class_f1,confusion_matrix,run_dir
complex_selective,gyrophase_rd,mean,acc_gyro,42,random,direction,51191,0.15243769325024914,137.96292304992676,22,0.973170731707317,0.7655333943049659,0.976062929033038,0.9903288201160542,0.728067490003118,0.52,0.74,0.9487179487179487,0.8314606741573034,0.5657524238999297,"[0.9903288201160542, 0.7777777777777778, 0.9090909090909091, 0.52, 0.8275862068965517, 0.6382978723404256, 0.6956521739130435]","[[1536, 1, 0, 15, 0, 10, 0], [2, 7, 1, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [1, 0, 0, 13, 0, 1, 1], [0, 0, 0, 0, 12, 0, 1], [0, 0, 0, 6, 0, 15, 0], [1, 0, 0, 0, 4, 0, 8]]",seed42/complex_selective__gyrophase_rd__mean
mamba3,gyrophase_rd,mean,acc_gyro,42,random,direction,240498,0.015458508278243245,7.699465990066528,15,0.9786585365853658,0.7529546329112475,0.9792527453857288,0.9945390298747189,0.7126905667506692,0.5882352941176471,0.8426966292134831,0.9615384615384616,0.8982035928143712,0.44754929662477677,"[0.9945390298747189, 0.6923076923076923, 1.0, 0.7619047619047619, 0.6086956521739131, 0.5882352941176471, 0.625]","[[1548, 7, 0, 1, 1, 3, 2], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 16, 0, 0, 0], [0, 0, 0, 0, 7, 0, 6], [1, 0, 0, 9, 0, 10, 1], [1, 0, 0, 0, 2, 0, 10]]",seed42/mamba3__gyrophase_rd__mean
mamba3,avgpool,mean,acc_gyro,42,random,direction,240407,0.011155812208016869,11.96285891532898,26,0.9829268292682927,0.8093889984948016,0.9834210782359157,0.9948619139370585,0.7784768459210921,0.6511627906976745,0.8522727272727273,0.9615384615384616,0.9036144578313253,0.5395606283041672,"[0.9948619139370585, 0.782608695652174, 0.9090909090909091, 0.8421052631578947, 0.7586206896551724, 0.6511627906976745, 0.7272727272727273]","[[1549, 4, 0, 0, 1, 8, 0], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 16, 0, 0, 0], [0, 0, 1, 0, 11, 0, 1], [1, 0, 0, 6, 0, 14, 0], [1, 0, 0, 0, 4, 0, 8]]",seed42/mamba3__avgpool__mean
complex_selective,gyrophase,mean,acc_gyro,42,random,direction,51163,0.1520733356301207,162.6961271762848,26,0.974390243902439,0.7473904294724214,0.9766943455296068,0.9912987431517886,0.7067390438591934,0.5925925925925926,0.7575757575757576,0.9615384615384616,0.847457627118644,0.5899660686348996,"[0.9912987431517886, 0.5925925925925926, 0.8888888888888888, 0.6, 0.782608695652174, 0.6666666666666666, 0.7096774193548387]","[[1538, 7, 0, 4, 0, 11, 2], [2, 8, 0, 0, 0, 0, 0], [0, 1, 4, 0, 0, 0, 0], [0, 0, 0, 9, 0, 6, 1], [0, 0, 0, 0, 9, 0, 4], [0, 1, 0, 1, 0, 19, 0], [1, 0, 0, 0, 1, 0, 11]]",seed42/complex_selective__gyrophase__mean
transformer,gyrophase_rd,mean,acc_gyro,13,random,direction,84450,0.0069083425114513375,8.32870626449585,28,0.9798780487804878,0.7825504735157196,0.9814106359942079,0.994535519125683,0.7472196325807255,0.6037735849056604,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.516583805494919,"[0.994535519125683, 0.7272727272727273, 0.8888888888888888, 0.7428571428571429, 0.7619047619047619, 0.6037735849056604, 0.7586206896551724]","[[1547, 3, 0, 1, 0, 11, 0], [2, 8, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 1], [0, 0, 0, 13, 0, 3, 0], [0, 0, 0, 0, 8, 1, 4], [0, 0, 0, 5, 0, 16, 0], [0, 1, 0, 0, 0, 1, 11]]",seed13/transformer__gyrophase_rd__mean
real_static,avgpool,mean,acc_gyro,13,random,direction,26375,0.04826184951525647,73.36476016044617,33,0.9774390243902439,0.7323162993604166,0.9791800803547355,0.9938847763115546,0.6887215532018938,0.5806451612903226,0.8105263157894737,0.9871794871794872,0.8901734104046243,0.46940158983556235,"[0.9938847763115546, 0.5806451612903226, 0.8, 0.6896551724137931, 0.7333333333333333, 0.72, 0.6086956521739131]","[[1544, 11, 1, 0, 0, 4, 2], [1, 9, 0, 0, 0, 0, 0], [0, 0, 4, 0, 1, 0, 0], [0, 0, 0, 10, 0, 6, 0], [0, 0, 0, 0, 11, 1, 1], [0, 0, 0, 3, 0, 18, 0], [0, 1, 0, 0, 5, 0, 7]]",seed13/real_static__avgpool__mean
tcn,avgpool,mean,acc_gyro,13,random,direction,222023,0.005377978595788591,6.2590436935424805,26,0.9847560975609756,0.7890496968871824,0.9846076637548167,0.9974375400384369,0.7543183896953066,0.5,0.9375,0.9615384615384616,0.9493670886075949,0.40734280747611346,"[0.9974375400384369, 0.9473684210526315, 0.8888888888888888, 0.7647058823529411, 0.5, 0.6976744186046512, 0.7272727272727273]","[[1557, 0, 0, 1, 1, 3, 0], [0, 9, 0, 0, 1, 0, 0], [0, 0, 4, 0, 0, 0, 1], [0, 0, 0, 13, 0, 3, 0], [0, 0, 0, 0, 5, 1, 7], [2, 0, 0, 4, 0, 15, 0], [1, 0, 0, 0, 0, 0, 12]]",seed13/tcn__avgpool__mean
complex_selective,avgpool,mean,acc_gyro,13,random,direction,51079,0.14846404406853253,105.52293348312378,17,0.9640243902439024,0.6407632742520685,0.9673100196894272,0.9877260981912145,0.5829361369288774,0.36363636363636365,0.6886792452830188,0.9358974358974359,0.7934782608695652,0.6459019198650267,"[0.9877260981912145, 0.5, 0.8888888888888888, 0.5789473684210527, 0.5454545454545454, 0.6206896551724138, 0.36363636363636365]","[[1529, 8, 0, 8, 2, 13, 2], [2, 6, 0, 1, 0, 1, 0], [0, 0, 4, 0, 1, 0, 0], [0, 0, 0, 11, 0, 5, 0], [1, 0, 0, 0, 9, 0, 3], [1, 0, 0, 2, 0, 18, 0], [1, 0, 0, 0, 8, 0, 4]]",seed13/complex_selective__avgpool__mean
real_selective,avgpool,mean,acc_gyro,13,random,direction,34567,0.04788519217981957,55.70138621330261,25,0.9853658536585366,0.8133846457465946,0.9857216632328512,0.9971126082771896,0.7827633186581621,0.6666666666666666,0.9058823529411765,0.9871794871794872,0.9447852760736196,0.40541659640829736,"[0.9971126082771896, 0.782608695652174, 1.0, 0.8108108108108109, 0.6666666666666666, 0.7441860465116279, 0.6923076923076923]","[[1554, 4, 0, 1, 0, 3, 0], [0, 9, 0, 0, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 8, 1, 4], [0, 0, 0, 5, 0, 16, 0], [1, 0, 0, 0, 3, 0, 9]]",seed13/real_selective__avgpool__mean
complex_selective,selective_gyrophase,mean,acc_gyro,13,random,direction,51254,0.15340273686888395,175.14786982536316,28,0.9542682926829268,0.5769356592856199,0.9605402635223431,0.9844256975989617,0.5090206529000629,0.3333333333333333,0.625,0.9615384615384616,0.7575757575757576,0.6767779347373218,"[0.9844256975989617, 0.3333333333333333, 0.8333333333333334, 0.47058823529411764, 0.46153846153846156, 0.5205479452054794, 0.43478260869565216]","[[1517, 15, 2, 8, 0, 20, 0], [2, 5, 0, 0, 0, 3, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 8, 0, 8, 0], [0, 0, 0, 0, 6, 2, 5], [0, 0, 0, 2, 0, 19, 0], [1, 0, 0, 0, 7, 0, 5]]",seed13/complex_selective__selective_gyrophase__mean
complex_selective,phase,mean,acc_gyro,13,random,direction,51100,0.14984968751377892,137.057297706604,22,0.9676829268292683,0.6504030234085523,0.9704234446272104,0.9909851899549259,0.5936393289841565,0.4,0.7604166666666666,0.9358974358974359,0.8390804597701149,0.6744559974205203,"[0.9909851899549259, 0.75, 0.8, 0.5945945945945946, 0.5, 0.5172413793103449, 0.4]","[[1539, 0, 1, 6, 0, 14, 2], [2, 6, 0, 0, 0, 2, 0], [0, 0, 4, 0, 1, 0, 0], [0, 0, 0, 11, 0, 5, 0], [0, 0, 0, 0, 7, 1, 5], [2, 0, 0, 4, 0, 15, 0], [1, 0, 0, 0, 7, 0, 5]]",seed13/complex_selective__phase__mean
transformer,avgpool,mean,acc_gyro,13,random,direction,84359,0.00392041325540049,7.7122132778167725,31,0.9780487804878049,0.7569638044934945,0.9789715213139654,0.9938887101962046,0.7174763202097095,0.5,0.8172043010752689,0.9743589743589743,0.8888888888888888,0.5406520564835973,"[0.9938887101962046, 0.6923076923076923, 1.0, 0.7317073170731707, 0.7586206896551724, 0.6222222222222222, 0.5]","[[1545, 6, 0, 3, 0, 8, 0], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 11, 1, 1], [1, 0, 0, 5, 0, 14, 1], [0, 1, 0, 2, 5, 0, 5]]",seed13/transformer__avgpool__mean
complex_static,avgpool,mean,acc_gyro,13,random,direction,34695,0.1491522190553951,222.8962688446045,36,0.9762195121951219,0.6928844260811821,0.9764908365580142,0.993900481540931,0.6427150835045573,0.3333333333333333,0.8390804597701149,0.9358974358974359,0.8848484848484849,0.5818282377065682,"[0.993900481540931, 0.5833333333333334, 0.8888888888888888, 0.7894736842105263, 0.3333333333333333, 0.6666666666666666, 0.5945945945945946]","[[1548, 6, 0, 2, 0, 3, 3], [2, 7, 0, 0, 0, 1, 0], [0, 0, 4, 0, 1, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 3, 0, 10], [3, 0, 0, 5, 0, 13, 0], [0, 1, 0, 0, 1, 0, 11]]",seed13/complex_static__avgpool__mean
real_selective,gyrophase_rd,mean,acc_gyro,13,random,direction,34679,0.05137633437698241,43.106236696243286,19,0.9829268292682927,0.7726982135463586,0.9832451337062301,0.9974342527261065,0.7352422070164005,0.5806451612903226,0.9166666666666666,0.9871794871794872,0.9506172839506173,0.49667200765958647,"[0.9974342527261065, 0.75, 1.0, 0.5806451612903226, 0.7333333333333333, 0.7111111111111111, 0.6363636363636364]","[[1555, 4, 0, 1, 1, 1, 0], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 9, 0, 7, 0], [0, 0, 0, 0, 11, 0, 2], [0, 0, 0, 5, 0, 16, 0], [0, 1, 0, 0, 5, 0, 7]]",seed13/real_selective__gyrophase_rd__mean
complex_selective,gyrophase_rd,mean,acc_gyro,13,random,direction,51191,0.15341292095399695,137.97807359695435,22,0.9597560975609756,0.5988553748609226,0.9643192498952621,0.9857605177993527,0.5343711843711844,0.4,0.6517857142857143,0.9358974358974359,0.7684210526315789,0.562071006617895,"[0.9857605177993527, 0.5333333333333333, 0.6153846153846154, 0.5384615384615384, 0.4, 0.6190476190476191, 0.5]","[[1523, 12, 4, 16, 1, 6, 0], [2, 8, 0, 0, 0, 0, 0], [0, 0, 4, 0, 1, 0, 0], [0, 0, 0, 14, 0, 2, 0], [0, 0, 0, 0, 5, 0, 8], [2, 0, 0, 6, 0, 13, 0], [1, 0, 0, 0, 5, 0, 7]]",seed13/complex_selective__gyrophase_rd__mean
