model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,gyro,75906,0.001964260300155729,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/cnn_gyro/best.pt,211,128,64,subject,0.9891552511415526,0.9463338271971162,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.06453383907029346,7782,1395,1752,0.9863799283154122,0.927076082440757,0.8194444444444444,0.9076923076923077,0.8613138686131386,0.11128584864586058
cnn,acc_gyro,76866,0.0019603090549935587,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/cnn_acc_gyro/best.pt,211,128,64,subject,0.9965753424657534,0.9820531031468531,0.9340659340659341,1.0,0.9659090909090909,0.008831989924599581,7782,1395,1752,0.9949820788530466,0.9715529220523846,0.953125,0.9384615384615385,0.9457364341085271,0.06250497856500557
gru,acc,38466,0.0024998187655000947,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/gru_acc/best.pt,211,128,64,subject,0.9971461187214612,0.9846300419515636,0.9651162790697675,0.9764705882352941,0.9707602339181286,0.027777550730468347,7782,1395,1752,0.9992831541218637,0.9959951654900969,0.9848484848484849,1.0,0.9923664122137404,0.014323797431746482
gru,gyro,38466,0.0025016997096827254,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/gru_gyro/best.pt,211,128,64,subject,0.9937214611872146,0.9676196076784139,0.8936170212765957,0.9882352941176471,0.9385474860335196,0.03706781927615268,7782,1395,1752,0.9978494623655914,0.9878083951653076,0.984375,0.9692307692307692,0.9767441860465116,0.06971245521319008
gru,acc_gyro,39042,0.0024679584385012276,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/gru_acc_gyro/best.pt,211,128,64,subject,0.9960045662100456,0.9791739899028493,0.9239130434782609,1.0,0.96045197740113,0.014842309491479234,7782,1395,1752,0.992831541218638,0.959059212997746,0.9365079365079365,0.9076923076923077,0.921875,0.15465949874831944
tcn,acc,220610,0.005758759543823544,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/tcn_acc/best.pt,211,128,64,subject,0.9982876712328768,0.9906744852425858,0.9880952380952381,0.9764705882352941,0.9822485207100592,0.014004689670708012,7782,1395,1752,0.9985663082437276,0.9918118425995492,1.0,0.9692307692307692,0.984375,0.032323762082811895
tcn,gyro,220610,0.005756452956120484,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/tcn_gyro/best.pt,211,128,64,subject,0.9982876712328768,0.9907780251709382,0.9767441860465116,0.9882352941176471,0.9824561403508771,0.016974450806134536,7782,1395,1752,0.9921146953405018,0.9577808898341225,0.875,0.9692307692307692,0.9197080291970803,0.04765557463749856
tcn,acc_gyro,221378,0.0058248806453775615,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/tcn_acc_gyro/best.pt,211,128,64,subject,0.9982876712328768,0.9908791645481316,0.9659090909090909,1.0,0.9826589595375722,0.007018516818340549,7782,1395,1752,0.9949820788530466,0.9723669354039974,0.9264705882352942,0.9692307692307692,0.9473684210526315,0.029403641968146137
transformer,acc,83842,0.0037604527824441902,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/transformer_acc/best.pt,211,128,64,subject,1.0,1.0,1.0,1.0,1.0,0.005302816482827484,7782,1395,1752,0.9992831541218637,0.9959361317217692,1.0,0.9846153846153847,0.9922480620155039,0.058628542935408944
transformer,gyro,83842,0.00373882499843603,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/transformer_gyro/best.pt,211,128,64,subject,0.9942922374429224,0.9700885052447552,0.9120879120879121,0.9764705882352941,0.9431818181818182,0.0431395506350213,7782,1395,1752,0.9942652329749104,0.9672473703981969,0.9523809523809523,0.9230769230769231,0.9375,0.12232056673696284
transformer,acc_gyro,84034,0.0038998150193947367,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/transformer_acc_gyro/best.pt,211,128,64,subject,0.9988584474885844,0.9938177070468259,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.007298107093123541,7782,1395,1752,0.9949820788530466,0.9719661584306791,0.9393939393939394,0.9538461538461539,0.9465648854961832,0.06725053960140535
mamba3,acc,239378,0.010951370932161808,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/mamba3_acc/best.pt,211,128,64,subject,0.9708904109589042,0.867880141062702,0.6416666666666667,0.9058823529411765,0.751219512195122,0.14053166364255834,7782,1395,1752,0.9670250896057347,0.8492727887705056,0.5979381443298969,0.8923076923076924,0.7160493827160493,0.1589515370653949
mamba3,gyro,239378,0.01105386545532383,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/mamba3_gyro/best.pt,211,128,64,subject,0.997716894977169,0.9874957177115451,0.9879518072289156,0.9647058823529412,0.9761904761904762,0.03470933005597403,7782,1395,1752,0.9949820788530466,0.9719661584306791,0.9393939393939394,0.9538461538461539,0.9465648854961832,0.08736558965522893
mamba3,acc_gyro,239762,0.011124000302515924,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed211/mamba3_acc_gyro/best.pt,211,128,64,subject,0.997716894977169,0.9879051465258362,0.9550561797752809,1.0,0.9770114942528736,0.003995310199408702,7782,1395,1752,0.9870967741935484,0.9340986394557823,0.7974683544303798,0.9692307692307692,0.875,0.05770049220256467
