model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
transformer,gyro,83842,0.0037369065466918983,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/transformer_gyro/best.pt,42,128,64,random,0.9932926829268293,0.960829528108722,0.9855072463768116,0.8717948717948718,0.9251700680272109,0.40250419723652603,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.3745521406902772
transformer,acc_gyro,84034,0.003901577038050164,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/transformer_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9830709677419355,0.974025974025974,0.9615384615384616,0.967741935483871,0.09295646628654539,7650,1639,1640,0.9951189749847468,0.9720545609548167,0.9726027397260274,0.922077922077922,0.9466666666666667,0.1317522628999942
mamba3,acc,239378,0.010977245765388943,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_acc/best.pt,42,128,64,random,0.9945121951219512,0.9687605163404087,0.9726027397260274,0.9102564102564102,0.9403973509933775,0.17666463364460847,7650,1639,1640,0.9932885906040269,0.9608284067379746,0.9714285714285714,0.8831168831168831,0.9251700680272109,0.3032680442141934
mamba3,gyro,239378,0.010941125947283581,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_gyro/best.pt,42,128,64,random,0.9951219512195122,0.9730785646278604,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.15974584427902122,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.1802645524670532
mamba3,acc_gyro,239762,0.010941022665065248,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed42/mamba3_acc_gyro/best.pt,42,128,64,random,0.9969512195121951,0.9828606423914839,0.9866666666666667,0.9487179487179487,0.9673202614379085,0.09343863945701386,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.10377424720065614
cnn,acc,75906,0.0019592198441387154,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_acc/best.pt,73,128,64,random,0.9908536585365854,0.9492129032258064,0.9090909090909091,0.8974358974358975,0.9032258064516129,0.12350347413704163,7650,1639,1640,0.9932885906040269,0.9632058971789623,0.9125,0.948051948051948,0.9299363057324841,0.08160724715898501
cnn,gyro,75906,0.001963474860531278,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_gyro/best.pt,73,128,64,random,0.9957317073170732,0.9771387150285069,0.927710843373494,0.9871794871794872,0.9565217391304348,0.04706492654229628,7650,1639,1640,0.9975594874923734,0.986700746510873,0.9506172839506173,1.0,0.9746835443037974,0.01618488890739968
cnn,acc_gyro,76866,0.0019580134176067077,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/cnn_acc_gyro/best.pt,73,128,64,random,0.999390243902439,0.9966141935483871,1.0,0.9871794871794872,0.9935483870967742,0.04157178601840647,7650,1639,1640,0.9993898718730934,0.9966140910828092,0.9871794871794872,1.0,0.9935483870967742,0.009865349968935093
gru,acc,38466,0.0024998546723509207,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_acc/best.pt,73,128,64,random,0.9908536585365854,0.9510115322039434,0.8795180722891566,0.9358974358974359,0.906832298136646,0.1091748503650107,7650,1639,1640,0.9920683343502136,0.9575419907260724,0.8809523809523809,0.961038961038961,0.9192546583850931,0.056412955410801255
gru,gyro,38466,0.0025002771872095764,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_gyro/best.pt,73,128,64,random,0.9951219512195122,0.9730785646278604,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.12225425798025709,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.09020566501978006
